Star1_ID,Star2_ID,AngularSeparation_rad
20889,51624,0.219953
30122,21281,0.220093
61359,21281,0.220334
104732,112029,0.220514
18543,55282,0.220656
77070,18724,0.220743
28360,64962,0.220952
51576,71795,0.221041
68702,36850,0.221231
45238,59196,0.221234
45556,82396,0.221293
93747,109492,0.221484
83081,87261,0.221540
71352,45941,0.221616
9640,2021,0.221656
116727,60260,0.221764
84379,42536,0.221918
68933,33977,0.221954
80816,36377,0.222057
33977,82729,0.222321
35904,25985,0.222431
74946,87261,0.222457
1067,87108,0.222545
39953,72622,0.222561
71908,102422,0.222616
5447,92041,0.222655
97278,112029,0.222722
23875,23015,0.222760
84345,55219,0.222825
47908,10602,0.223113
45941,57757,0.223133
97165,71795,0.223277
67472,93805,0.223516
68933,82729,0.223567
80331,47908,0.223621
65474,46853,0.223688
68933,86414,0.223730
31681,17358,0.223862
33977,75177,0.223864
113368,48774,0.223952
87833,9236,0.224217
30122,79882,0.224437
97165,88635,0.224523
59747,69996,0.224712
80331,92041,0.224770
52943,73555,0.224830
50099,68282,0.224866
4427,97278,0.224867
30343,75264,0.224960
60718,16083,0.225080
61359,92420,0.225232
97278,74395,0.225309
97649,85927,0.225355
65474,8903,0.225395
49669,46651,0.225432
81377,30122,0.225629
45080,30867,0.225655
113881,85267,0.225728
68933,55219,0.225784
24608,35904,0.225893
24436,86929,0.225905
88635,51576,0.225923
26311,86670,0.226089
14135,69996,0.226172
93747,27628,0.226363
87073,2920,0.226600
65474,74666,0.226855
47908,68895,0.227201
102098,2081,0.227206
50335,113726,0.227219
37826,39953,0.227341
87073,44127,0.227442
49669,99473,0.227452
61359,67472,0.227469
94141,32759,0.227518
71352,85670,0.227523
24305,87108,0.227590
100453,7097,0.227591
